PID,Street Address,MBLU,Map,Lot,Unit,Book&Page,Assessment,Appraisal,Lot Size (acres),Land Use Code,Description,Zoning District,# Buildings,Appr. Year,Improvements,Land,Total,Recent Sale Price,Recent Sale Date,Prev Sale Price,Prev Sale Date,Prev. Ass. Imp,Prev. Ass. Land,Prev. Ass. Tot,Prev. App. Imp,Prev. App. Land,Prev. App. Tot,,
123,30 PLEASANT ST,201/  86/  /  / ,201,86,  ,  4371/0348,284100,284100,0.69,1010,SINGLE FAM MDL01,LCD,1,2021,151900,132200,284100,295000,2018-06-29,185000,2006-03-24,120600,105500,226100,120600,105500,226100,20:05:40,1
125,24 PLEASANT ST,201/  88/  /  / ,201,88,  ,  4071/0118,427700,427700,2.3,1010,SINGLE FAM MDL01,LCD,1,2021,272000,155700,427700,365000,2014-07-21,,,227400,119300,346700,227400,119300,346700,20:05:41,2
127,16 PLEASANT ST,201/  90/  /  / ,201,90,  ,  4644/ 627,393500,393500,0.9,1010,SINGLE FAM MDL01,LCD,1,2021,240200,153300,393500,525000,2021-06-17,405000,2019-05-01,263100,114100,377200,263100,114100,377200,20:05:42,3
128,12+14 PLEASANT ST,201/  91/  /  / ,201,91,  ,  3779/0878,583500,583500,0.8,1090,MULTI HSES,LCD,2,2021,395000,188500,583500,200000,2011-03-15,125000,1997-09-09,416100,111500,527600,416100,111500,527600,20:05:43,4
129,10 PLEASANT ST,201/  92/  /  / ,201,92,  ,  4152/0371,339800,339800,1.3,1010,SINGLE FAM MDL01,LCD,1,2021,182300,157500,339800,286000,2015-08-24,225000,2006-03-07,170700,124600,295300,170700,124600,295300,20:05:44,5
132,6 JOHN THOMSON WY (L/O),201/  93/  100/  / ,201,93,100, ,40300,40300,0.16,9030,MUNICPAL  MDL-00,LDC,1,2021,0,40300,40300,0,,,,0,33700,33700,0,33700,33700,20:05:45,6
133,6 JOHN THOMSON WY(HORSESHD),201/  93/  200/  / ,201,93,200,  1005/0574,42000,42000,0,9060,CHURCH ETC  MDL-00,,1,2021,42000,0,42000,0,,,,38500,0,38500,38500,0,38500,20:05:45,7
136,2 PLEASANT ST (JAILHOUSE),201/  94/  100/  / ,201,94,100, ,27400,27400,0.07,903I,MUNICPAL  MDL-96,LCD,1,2021,15200,12200,27400,0,,,,13400,9700,23100,13400,9700,23100,20:05:46,8
137,4 JOHN THOMSON WY,201/  94/  200/  / ,201,94,200, ,236300,236300,1.85,920C,NON PROFIT  MDL-94,LCD,1,2021,46900,189400,236300,0,,,,42400,154600,197000,42400,154600,197000,20:05:47,9
139,5 DORCHESTER RD,201/  96/  /  / ,201,96,  , ,247800,247800,0.09,906C,CHURCH ETC  MDL-94,LCD,1,2021,81400,166400,247800,0,,,,73400,132400,205800,73400,132400,205800,20:05:48,10
140,7 DORCHESTER RD,201/  97/  /  / ,201,97,  ,  3890/0633,726800,726800,0.31,1010,SINGLE FAM MDL01,LCD,1,2021,575300,151500,726800,733000,2012-06-13,257000,1996-09-19,531800,156000,687800,531800,156000,687800,20:05:49,11
143,19 DORCHESTER RD,201/  100/  /  / ,201,100,  ,  4223/0595,541000,541000,1.5,1010,SINGLE FAM MDL01,LCD,1,2021,334100,206900,541000,465000,2016-07-29,222000,1993-09-02,289400,181800,471200,289400,181800,471200,20:05:50,12
144,21 DORCHESTER RD,201/  101/  /  / ,201,101,  ,  4154/0182,277800,277800,0.43,1010,SINGLE FAM MDL01,LCD,1,2021,144800,133000,277800,266700,2015-08-31,92571,1992-07-15,138000,111800,249800,138000,111800,249800,20:05:50,13
148,50 HIGH ST,201/  102/  1000/  / ,201,102,1000,  4403/0829,306500,306500,1.37,1010,SINGLE FAM MDL01,LCD,1,2021,163800,142700,306500,0,2018-11-29,122000,1994-08-24,138200,108700,246900,138200,108700,246900,20:05:51,14
149,48 HIGH ST,201/  102/  2000/  / ,201,102,2000,  4403/0829,556800,556800,1.51,3050,HOSP PVT,LCD,1,2021,385600,171200,556800,0,2018-11-29,20000,1995-08-01,290200,130100,420300,290200,130100,420300,20:05:52,15
150,44 HIGH ST (FIRE STATION),201/  103/  /  / ,201,103,  , ,580900,580900,1.28,9032,FIRE,LCD,1,2021,410700,170200,580900,0,,,,124300,129200,253500,124300,129200,253500,20:05:53,16
151,40 HIGH ST,201/  104/  /  / ,201,104,  ,  4419/0497,218500,218500,10,3900,DEVEL LAND,LCD,1,2021,0,218500,218500,200000,2019-03-04,4286,1991-05-31,0,137300,137300,0,137300,137300,20:05:54,17
153,36 HIGH ST,201/  106/  /  / ,201,106,  ,  1970/0315,260700,260700,0.66,1010,SINGLE FAM MDL01,LCD,1,2021,149400,111300,260700,115048,1992-06-01,,,138400,90300,228700,138400,90300,228700,20:05:55,18
154,32 HIGH ST,201/  107/  /  / ,201,107,  ,  3080/0109,164900,164900,0.52,1010,SINGLE FAM MDL01,LCD,1,2021,82500,82400,164900,0,2004-11-18,75000,1998-11-10,66800,72000,138800,66800,72000,138800,20:05:56,19
159,30 HIGH ST,201/  109/  1000/  / ,201,109,1000,  0841/0392,187300,187300,1.96,9010,STATE NH,LCD,1,2021,21200,166100,187300,0,1955-06-02,,,17900,127200,145100,17900,127200,145100,20:05:57,20
161,24 HIGH ST (HIGHWAY GARAGE),201/  110/  1000/  / ,201,110,1000,002888/0819,781700,781700,3.47,903I,MUNICPAL  MDL-96,LCD,1,2021,562100,219600,781700,0,2003-09-10,,,592300,158900,751200,592300,158900,751200,20:05:58,21
162,18 HIGH ST,201/  111/  /  / ,201,111,  ,  2264/0263,292200,292200,1.8,1010,SINGLE FAM MDL01,LCD,1,2021,165400,126800,292200,125000,1997-08-05,,,165400,97100,262500,165400,97100,262500,20:05:59,22
163,14 HIGH ST,201/  112/  /  / ,201,112,  ,  2258/0725,428500,428500,0.76,1090,MULTI HSES,LCD,2,2021,269600,158900,428500,111000,1997-06-27,4000,1988-01-22,298800,97300,396100,298800,97300,396100,20:05:59,23
164,8 HIGH ST,201/  113/  /  / ,201,113,  ,  3957/0001,144500,144500,0.58,1010,SINGLE FAM MDL01,LCD,1,2021,46200,98300,144500,0,2013-02-20,100000,2007-04-06,38900,83100,122000,38900,83100,122000,20:06:00,24
167,4 CREAMERY LN,201/  117/  /  / ,201,117,  ,  2249/0467,513300,513300,1.53,101,Single Fam,LCD,2,2021,289300,224000,513300,0,1996-12-02,138500,1995-09-22,279800,110300,390100,279800,110300,390100,20:06:01,25
168,13 CREAMERY LN,201/  118/  /  / ,201,118,  ,  4111/0827,304100,304100,1.5,1010,SINGLE FAM MDL01,LCD,1,2021,174500,129600,304100,0,2015-02-23,4000,1988-03-23,146700,98800,245500,146700,98800,245500,20:06:02,26
170,1 HIGH ST,201/  120/  /  / ,201,120,  ,  3546/0936,1492300,1492300,3.11,903R,MUNICIPAL MDL-01,LCD,2,2021,1225500,266800,1492300,0,2008-09-02,,,1095300,204200,1299500,1095300,204200,1299500,20:06:03,27
