PID,Location,Map,Lot,Unit,Town_Assessment,Scraped_Value
50,1 6-6 ON THE COMMON UNIT ,201,35,10,0.0,167300.0
1243, 321 DORCHESTER RD ,414,25,,3400.0,299900.0
1263, 307 DORCHESTER RD ,414,32,,326500.0,565000.0
1031, 10 ISAAC PERKINS-1 ALDEN RD ,409,76,,283600.0,318600.0
292,294 DARTMOUTH COLLEGE HY ,402,1,1000,550500.0,945700.0
603, 385 ORFORD RD ,406,6,,20600.0,250000.0
624, 302 ORFORD RD ,406,21,,448800.0,593000.0
344, 16 SHOESTRAP RD ,402,49,,375000.0,770000.0
1228, 55 SMITH MOUNTAIN RD ,415,30,,330800.0,506600.0
480, 97 NORTH THETFORD RD ,404,5,,409400.0,479100.0
675, 62 POST POND LN ,407,23,,11300.0,52400.0
384, 91 RIVER RD ,402,86,,356900.0,561800.0
223, 32 PELTON LN ,401,27,,448800.0,498200.0
762, 160 WHIPPLE HILL RD ,407,81,,500.0,181700.0
793,109 PINNACLE RD ,407,102,2000,2800.0,268100.0
1144, 347 BAKER HILL RD ,410,80,,535800.0,684000.0
171, 18 SPRING HILL LN ,201,122,,200.0,144500.0
172, 10 SPRING HILL LN ,201,123,,300.0,161400.0
863, 21 SPRING HILL LN ,408,26,,300.0,165600.0
864, 24 SPRING HILL LN ,408,27,,300.0,156600.0
865, 60 SPRING HILL LN ,408,28,,1142000.0,1281600.0
760, 165 WHIPPLE HILL RD ,407,80,,136500.0,289600.0
512, 40 BRECK HILL RD ,404,37,,10200.0,265100.0
530, 59 BRECK HILL RD ,405,2,,746100.0,760400.0
100622, 81 BRECK HILL RD ,405,3,,1500.0,54500.0
102916, 94 NORTH THETFORD RD ,404,46,,25000.0,294700.0
407, 39 EAST THETFORD RD ,403,5,,13900.0,420900.0
461, 106 EAST THETFORD RD ,403,44,,906400.0,985200.0
1403, 137 ORFORDVILLE RD ,417,2,,100.0,8500.0
770, 124 ORFORD RD ,407,89,,6400.0,269900.0
1215,60 POUT POND LN ,414,9,1000,5000.0,419900.0
753, 95 WHIPPLE HILL RD ,407,73,,776900.0,884900.0
751, 79 WHIPPLE HILL RD ,407,71,,469600.0,527800.0
839, 39 PLEASANT ST ,408,2,,714600.0,900500.0
867, 60 ROCKY HILL LN ,408,29,,1744200.0,1920700.0
876, 57 FRANKLIN HILL RD ,408,38,,451400.0,540400.0
101442,44 FRANKLIN HILL RD ,408,75,3000,121000.0,431600.0
1064,190 BAKER HILL RD ,410,9,1000,692200.0,1013200.0
514, 30 BRECK HILL RD ,404,39,,643600.0,722300.0
881, 56 HORTON LN ,408,43,,1562300.0,1644300.0
744, 20 CULVER HILL LN ,407,64,,741600.0,827000.0
460, 120 EAST THETFORD RD ,403,43,,680900.0,758100.0
887,36 HORTON LN ,408,47,1000,1415400.0,1527900.0
717, 241 ORFORD RD ,407,54,,9600.0,447800.0
689, 22 POST POND LN ,407,29,,463000.0,508400.0
301, 226 DARTMOUTH COLLEGE HY ,402,9,,346000.0,432200.0
836, 92 ORFORD RD ,407,140,,24500.0,258100.0
837, 84 ORFORD RD ,407,141,,688600.0,689800.0
377, 64 SHOESTRAP RD ,402,79,,183700.0,497500.0
1113, 50 BLISS LN ,410,50,,296000.0,528800.0
737,8 TAVERN LN ,407,60,4000,1129400.0,1244000.0
334, 114 RIVER RD ,402,40,,635200.0,778000.0
872, 63 DORCHESTER RD ,408,34,,600600.0,687200.0
101622,3 PRESTON RD ,402,37,100,448700.0,508900.0
102691, 42 HARDSCRABBLE LN ,415,10,,1082900.0,1214700.0
1225, 91 FLINT HILL RD ,414,12,,394400.0,441400.0
1222,75 FLINT HILL RD ,414,11,1100,539000.0,611500.0
37, T 16 ON THE COMMON ,201,30,,50000.0,650500.0
510, 7 GREGORY RD ,404,35,,659900.0,749300.0
877, 73 FRANKLIN HILL RD ,408,39,,784200.0,871700.0
1365, 58 ORFORDVILLE RD ,416,2,,200.0,29900.0
1366, 40 ORFORDVILLE RD ,416,3,,1600.0,208500.0
1034, 62 BAKER HILL RD ,409,79,,33700.0,121000.0
1373, 226 PINNACLE RD ,416,10,,1404700.0,1599700.0
1149, 311 GOOSE POND RD ,411,4,,335600.0,441600.0
626, 264 ORFORD RD ,406,23,,518700.0,617100.0
800, 100 HIGHBRIDGE RD ,407,110,,1578300.0,1627000.0
579, 772 RIVER RD ,405,39,,655300.0,710500.0
457, 360 RIVER RD ,403,40,,1044500.0,1228200.0
1120, 293 BAKER HILL RD ,410,57,,534200.0,602700.0
1353,79 POUT POND LN ,415,20,2000,897300.0,978300.0
100021,288 ORFORD RD ,406,22,2000,1359700.0,1649100.0
192, 68 PRESTON RD ,401,7,,25500.0,689600.0
597, 52 BRECK HILL RD ,405,50,,992000.0,1089400.0
101362,119 WHIPPLE HILL RD ,407,76,1000,662700.0,735200.0
290, 75 RIVER RD ,401,77,,908700.0,1072200.0
1127, 239 GOOSE POND RD ,410,64,,161600.0,345800.0
1132, 240 GOOSE POND RD ,410,69,,689000.0,1059700.0
974, 26 ACORN HILL RD ,409,27,,644500.0,729100.0
804, 66 HIGHBRIDGE RD ,407,113,,674700.0,885800.0
201,114 DARTMOUTH COLLEGE HY ,401,13,1000,475300.0,592200.0
101262, 46 POUT POND LN ,414,65,,591300.0,649200.0
972, 38 ACORN HILL RD ,409,25,,1600.0,158100.0
101542, 675 RIVER RD ,405,33,,531100.0,1292100.0
1313, 274 DORCHESTER RD ,414,62,,375600.0,429700.0
100742, 19 MAPLE LN ,402,44,,893400.0,991300.0
1152, 371 GOOSE POND RD ,411,7,,4800.0,311600.0
1446,581 DORCHESTER RD ,420,7,1000,11000.0,630500.0
1251, 261 DORCHESTER RD ,414,29,,587400.0,648000.0
1466, 550 DORCHESTER RD ,420,26,,3600.0,368800.0
752, 89 WHIPPLE HILL RD ,407,72,,520600.0,592300.0
1386, 25 PONY HILL LN ,416,20,,1202600.0,1526500.0
944,56 FRANKLIN HILL RD ,408,75,1000,655600.0,736800.0
911, 82 ACORN HILL RD ,408,58,,705400.0,1240600.0
912, 70 ACORN HILL RD ,408,59,,3700.0,81400.0
1247,74 FLINT HILL RD ,414,26,1000,792700.0,926800.0
101224, 289 GOOSE POND RD ,411,1,,658900.0,734100.0
476, 23 STORRS HILL LN ,404,1,,477900.0,620200.0
491, 522 RIVER RD ,404,16,,635600.0,1021800.0
