PID,Location,Map,Lot,Unit,Town_Assessment,Scraped_Value
100061,,,,,,
100242,,,,,,
101522,,,,,,
102642,,,,,,
102643,,,,,,
102765,,,,,,
1075,,,,,,
1194,,,,,,
453,,,,,,
656,,,,,,
71,,,,,,
854,,,,,,
1274, 401 DORCHESTER RD ,414,43,,480300.0,480300.0
100562,85 DARTMOUTH COLLEGE HY #9010 ,401,55,901,427400.0,427400.0
100182,85 DARTMOUTH COLLEGE HY #1040 ,401,55,104,357100.0,357100.0
25, 30 MARKET ST ,201,18,,581100.0,581100.0
489, 530 RIVER RD ,404,14,,468000.0,468000.0
122, 32 PLEASANT ST ,201,85,,406300.0,406300.0
771, 1 PINNACLE RD ,407,90,,488900.0,488900.0
917, 53 ACORN HILL RD ,408,62,,478900.0,478900.0
232, 156 GOOSE POND RD ,401,32,,130000.0,130000.0
395, 143 RIVER RD ,402,97,,654800.0,654800.0
137,4 JOHN THOMSON WY ,201,94,200,236300.0,236300.0
315, 45 PRESTON RD ,402,23,,659100.0,659100.0
101462,230 RIVER RD ,402,74,2000,1117900.0,1117900.0
179, 35 HIGH ST ,201,129,,287500.0,287500.0
391, 131 RIVER RD ,402,93,,469100.0,469100.0
340, 38 SHOESTRAP RD ,402,46,,588200.0,588200.0
637, 135 MUD TURTLE POND RD ,406,34,,309800.0,309800.0
418, 119 EAST THETFORD RD ,403,10,,648600.0,648600.0
1268, 361 DORCHESTER RD ,414,37,,155100.0,155100.0
1023, 54 ISAAC PERKINS RD ,409,68,,356200.0,356200.0
1234, 107 FLINT HILL RD ,414,21,,266100.0,266100.0
1045, 162 DORCHESTER RD ,409,90,,173600.0,173600.0
1019, 41 ISAAC PERKINS RD ,409,64,,428300.0,428300.0
1236, 119 FLINT HILL RD ,414,23,,209700.0,209700.0
764, 150 WHIPPLE HILL RD ,407,83,,194500.0,194500.0
1082, 107 BEAR HILL LN ,410,19,,129600.0,129600.0
659, 65 POST POND LN ,407,19,,13900.0,13900.0
664, 67 POST POND LN ,407,20,,238300.0,238300.0
100162,85 DARTMOUTH COLLEGE HY #1020 ,401,55,102,197500.0,197500.0
398, 155 RIVER RD ,402,100,,927100.0,927100.0
433, 301 RIVER RD ,403,16,,167600.0,167600.0
1477, 658 DORCHESTER RD ,421,9,,234100.0,234100.0
173, 6 SPRING HILL LN ,201,124,,619200.0,619200.0
795, 121 PINNACLE RD ,407,104,,397200.0,397200.0
371, 234 RIVER RD ,402,73,,509100.0,509100.0
436, 311 RIVER RD ,403,19,,266100.0,266100.0
118, 7 BRITTON LN ,201,81,,683500.0,683500.0
16, 1 MARKET ST ,201,11,,1401800.0,1401800.0
1005, 67 + 69 BAKER HILL RD ,409,55,,533100.0,533100.0
100642, 60 BRECK HILL RD ,405,49,,33000.0,33000.0
88, 1 HAMILTON LN ,201,62,,156600.0,156600.0
79, 17 UNION ST ,201,53,,333300.0,333300.0
635, 121 MUD TURTLE POND RD ,406,32,,4200.0,4200.0
645, 149 ORFORD RD ,407,6,,376700.0,376700.0
1249, 44 FLINT HILL RD ,414,27,,590700.0,590700.0
43, 8 ON THE COMMON ,201,34,,345600.0,345600.0
102737, 51 HIGH ST ,201,134,,1050800.0,1050800.0
360, 241 DARTMOUTH COLLEGE HY ,402,62,,229900.0,229900.0
100523,85 DARTMOUTH COLLEGE HY #5020 ,401,55,502,332100.0,332100.0
408, 53 EAST THETFORD RD ,403,6,,320000.0,320000.0
127, 16 PLEASANT ST ,201,90,,393500.0,393500.0
210, 57 GOOSE POND RD ,401,21,,337100.0,337100.0
951, 141 DORCHESTER RD ,409,7,,268200.0,268200.0
55,6 ON THE COMMON UNIT #6 ,201,35,60,168600.0,168600.0
875, 43 FRANKLIN HILL RD ,408,37,,663100.0,663100.0
23, 25 MARKET ST ,201,16,,478700.0,478700.0
1087, 24 BAILEY HILL LN ,410,24,,83500.0,83500.0
345, 2 SHOESTRAP RD ,402,50,,441600.0,441600.0
93, 6 EAST THETFORD RD ,201,67,,570100.0,570100.0
288, 61 RIVER RD ,401,75,,573700.0,573700.0
324, 208 DARTMOUTH COLLEGE HY ,402,30,,423000.0,423000.0
616, 376 ORFORD RD ,406,12,,556900.0,556900.0
696, 33 NORTH THETFORD RD ,407,36,,493000.0,493000.0
705, 4 PUSHEE FALLS LN ,407,45,,10800.0,10800.0
511, 9 GREGORY RD ,404,36,,408600.0,408600.0
382, 116 RIVER RD ,402,84,,309800.0,309800.0
833, 100 ORFORD RD ,407,137,,565800.0,565800.0
303, 23 WASHBURN HILL RD ,402,11,,571300.0,571300.0
506, 21 GREGORY RD ,404,31,,937200.0,937200.0
100265,207 ORFORD RD ,407,53,2000,635000.0,635000.0
986, 1 FLINT HILL RD ,409,39,,246600.0,246600.0
50,6 ON THE COMMON UNIT #1 ,201,35,10,167300.0,167300.0
1256,263 DORCHESTER RD ,414,30,2000,378800.0,378800.0
1040, 2 BAKER HILL RD ,409,85,,498800.0,498800.0
162, 18 HIGH ST ,201,111,,292200.0,292200.0
100722, 5 WILMOTT WY ,401,58,,536300.0,536300.0
966, 185 DORCHESTER RD ,409,19,,542200.0,542200.0
1122, 171 GOOSE POND RD ,410,59,,134500.0,134500.0
513, 34 BRECK HILL RD ,404,38,,490500.0,490500.0
102854,158 GOOSE POND RD ,401,31,2000,158700.0,158700.0
571, 667 RIVER RD ,405,31,,349100.0,349100.0
706, 30 NORTH THETFORD RD ,407,46,,410100.0,410100.0
21, 15 MARKET ST ,201,14,,686500.0,686500.0
37, 16 ON THE COMMON ,201,30,,650500.0,650500.0
688, 32 POST POND LN ,407,28,,50200.0,50200.0
923, 115 ACORN HILL RD ,408,66,,201400.0,201400.0
997, 180 DORCHESTER RD ,409,50,,373200.0,373200.0
100163,85 DARTMOUTH COLLEGE HY #1030 ,401,55,103,247300.0,247300.0
1094, 15 CLAFLIN LN ,410,31,,420500.0,420500.0
1099, 43 PICO RD ,410,36,,432400.0,432400.0
1232, 12 SMITH MOUNTAIN RD ,414,19,,303600.0,303600.0
100543,85 DARTMOUTH COLLEGE HY #8010 ,401,55,801,543400.0,543400.0
855, 114 POST POND LN ,408,18,,171600.0,171600.0
1374, 15 DAVISON LN ,416,11,,496700.0,496700.0
195, 298 BAKER HILL RD ,401,10,,519700.0,519700.0
1042, 168 DORCHESTER RD ,409,87,,398600.0,398600.0
740,48 CULVER HILL LN ,407,60,7000,970800.0,970800.0
459, 330 RIVER RD ,403,42,,485400.0,485400.0
838, 16 BRITTON LN ,408,1,,400300.0,400300.0
102937, ROW TOWN OF LYME ,100,5,,5600.0,5600.0
649, 45 POST POND LN ,407,10,,563900.0,563900.0
36, 18 ON THE COMMON ,201,29,,719200.0,719200.0
83, 29 UNION ST ,201,57,,334800.0,334800.0
174, 13 HIGH ST ,201,125,,284500.0,284500.0
1471, 641 DORCHESTER RD ,421,3,,176400.0,176400.0
279, 38 RIVER RD ,401,69,,338100.0,338100.0
1195, 22 CANAAN LEDGE LN ,413,22,,474600.0,474600.0
1204, 70 GRAFTON TK ,413,31,,333100.0,333100.0
100462,85 DARTMOUTH COLLEGE HY #2030 ,401,55,203,204700.0,204700.0
100263, 78 NORTH THETFORD RD ,404,50,,812100.0,812100.0
1323, 254 DORCHESTER RD ,414,64,,566000.0,566000.0
100583,95 DARTMOUTH COLLEGE HY #1234 ,401,55,123,1848200.0,1848200.0
259, 101 DARTMOUTH COLLEGE HY ,401,56,,3047400.0,3047400.0
143, 19 DORCHESTER RD ,201,100,,494100.0,494100.0
100282,205 ORFORD RD ,407,53,3000,736000.0,736000.0
520, 100 NORTH THETFORD RD ,404,45,,687700.0,687700.0
442, 339 RIVER RD ,403,25,,426200.0,426200.0
1166, 107 GRAFTON TK ,413,2,,337300.0,337300.0
1167, 117 GRAFTON TK ,413,3,,296600.0,296600.0
622, 320 ORFORD RD ,406,19,,236000.0,236000.0
219,149 GOOSE POND RD ,401,23,3000,340600.0,340600.0
447, 37 LAMPHIRE HILL LN ,403,30,,419700.0,419700.0
77,13 UNION ST ,201,51,2000,578400.0,578400.0
747, 19 CLOVER MILL LN ,407,67,,724800.0,724800.0
100422,85 DARTMOUTH COLLEGE HY #2010 ,401,55,201,451200.0,451200.0
1035, 56 BAKER HILL RD ,409,80,,414200.0,414200.0
151, 40 HIGH ST ,201,104,,218500.0,218500.0
1121, 305 BAKER HILL RD ,410,58,,369900.0,369900.0
862, 16 ORFORD RD ,408,25,,1048600.0,1048600.0
1271, 383 DORCHESTER RD ,414,40,,443700.0,443700.0
105, 7 MAIN ST ,201,74,,510400.0,510400.0
380, 3 MAPLE LN ,402,82,,342200.0,342200.0
375, 202 RIVER RD ,402,77,,260800.0,260800.0
22, 19 MARKET ST ,201,15,,449000.0,449000.0
1046, 150 DORCHESTER RD ,409,91,,259300.0,259300.0
106, 9 MAIN ST ,201,75,,1909300.0,1909300.0
776, 35 PINNACLE RD ,407,95,,610900.0,610900.0
363, 5 SLOAN LN ,402,65,,540600.0,540600.0
1070, 168 BAKER HILL RD ,410,11,,231900.0,231900.0
