Map,Lot,Unit,Street Address,Acres,Class,Assess. 2021,Apprais. 2021,Improv. 2021,Land Value 2021,Total Value 2021,Assess. 2020,Apprais. 2020,Recent Sale,Recent Date,Previous Sale,Previous Date,Grafton Sale,Grafton Date
Map,Lot,Unit,Street Address,Lot Size (acres),,$0,$0,$0,$0,$0,$0,$0,$0,Recent Sale Date,$0,Prev Sale Date,$0,Recent sale Date
100,1,,FLOWAGE RIGHTS,0,,"$1,254,000","$1,254,000","$1,254,000",$0,"$1,254,000","$1,254,000","$1,254,000",$0,2017-04-20,"$26,278,600",2005-03-31,$0,
100,2,,POWER LINES/L-37.62 MI,0,,"$2,695,800","$2,695,800","$2,695,800",$0,"$2,695,800","$2,695,800","$2,695,800",$0,,$0,,$0,
100,3,,POWER LINES,0,,"$2,527,700","$2,527,700","$2,527,700",$0,"$2,527,700","$2,527,700","$2,527,700","$1,019,533",2004-01-01,$0,,$0,
100,4,,POWER LINES,0,,$500,$500,$500,$0,$500,$500,$500,$0,,$0,,$0,
100,10,,TOWN OF LYME,0,I,"$415,200","$415,200","$415,200",$0,"$415,200",$0,$0,$0,,$0,,$0,
201,1,,58 DORCHESTER RD,3.9,R,"$261,300","$261,300","$93,700","$167,600","$261,300","$210,900","$210,900",$0,2016-10-25,"$150,000",2012-01-03,$0,
201,4,,42 DORCHESTER RD,0.49,R,"$181,800","$181,800","$77,200","$104,600","$181,800","$150,200","$150,200",$0,2002-12-16,$0,,$0,
201,5,,40 DORCHESTER RD,0.98,R,"$254,400","$254,400","$114,000","$140,400","$254,400","$207,800","$207,800",$0,2002-12-16,$0,,$0,
201,6,,36 DORCHESTER RD,1.85,R,"$266,800","$266,800","$108,900","$157,900","$266,800","$210,800","$210,800","$5,000",2006-07-12,$0,,$0,
201,7,,32 DORCHESTER RD,2.46,R,"$417,100","$417,100","$254,100","$163,000","$417,100","$380,000","$380,000","$240,000",2006-05-31,"$5,000",1953-08-07,$0,
201,9,,22 DORCHESTER RD,3.11,R,"$487,000","$487,000","$261,800","$225,200","$487,000","$432,700","$432,700","$500,000",2016-10-24,"$14,000",2008-07-28,$0,
201,10,,18 DORCHESTER RD,1.6,R,"$556,400","$556,400","$275,700","$280,700","$556,400","$444,000","$444,000","$121,000",1989-07-06,$0,,$0,
201,11,,1 MARKET ST,1.4,C,"$1,401,800","$1,401,800","$1,016,100","$385,700","$1,401,800","$1,206,600","$1,206,600","$950,000",2014-11-12,"$500,000",2008-09-02,$0,
201,12,1000,7 MARKET ST,0.37,R,"$301,600","$301,600","$162,500","$139,100","$301,600","$299,900","$299,900","$435,000",2020-07-23,"$97,000",1988-10-07,"$435,000",2020-07-23
201,12,2000,5 MARKET ST,0.05,R,"$154,000","$154,000","$91,700","$62,300","$154,000","$135,600","$135,600","$435,000",2020-07-23,"$97,000",1988-10-07,"$450,000",2020-07-23
201,13,,11 MARKET ST,1.6,R,"$615,800","$615,800","$381,400","$234,400","$615,800","$573,900","$573,900",$0,2009-09-30,"$92,000",1986-06-12,$0,
201,14,,15 MARKET ST,1.8,R,"$686,500","$686,500","$398,100","$288,400","$686,500","$613,400","$613,400",$0,2019-02-01,"$550,000",2018-07-09,$0,
201,15,,19 MARKET ST,0.55,R,"$449,000","$449,000","$269,300","$179,700","$449,000","$390,000","$390,000",$0,2012-07-25,"$362,000",2012-07-03,$0,
201,16,,25 MARKET ST,4.31,,"$478,700","$478,700","$233,100","$245,600","$478,700","$441,800","$441,800","$42,400",1974-04-11,$0,,$0,
201,18,,30 MARKET ST,0.5,R,"$581,100","$581,100","$410,600","$170,500","$581,100","$468,400","$468,400","$290,000",2000-12-14,"$30,000",1983-05-17,$0,
201,19,,26 MARKET ST,1.1,R,"$364,400","$364,400","$159,100","$205,300","$364,400","$293,900","$293,900","$195,000",2015-06-17,"$98,000",1990-06-22,$0,
201,20,,22 MARKET ST,2.08,R,"$536,700","$536,700","$326,700","$210,000","$536,700","$509,800","$509,800",$0,2010-05-17,"$437,533",2008-08-21,$0,
201,21,,20 MARKET ST,3.5,R,"$594,000","$594,000","$292,900","$301,100","$594,000","$500,300","$500,300",$0,2013-04-02,"$4,000",1998-04-10,$0,
201,22,,14 MARKET ST,3.91,R,"$656,100","$656,100","$420,400","$235,700","$656,100","$601,100","$601,100","$2,666",2018-01-23,"$294,000",2000-10-02,$0,
201,23,,10 MARKET ST,1.38,R,"$484,900","$484,900","$266,700","$218,200","$484,900","$435,500","$435,500","$278,533",2013-03-04,$0,,$0,
201,25,,8 MARKET ST,0.37,R,"$277,800","$277,800","$131,000","$146,800","$277,800","$273,800","$273,800","$248,000",2004-10-29,"$7,000",1957-07-05,$0,
201,26,,6 MARKET ST,0.29,R,"$328,000","$328,000","$176,400","$151,600","$328,000","$301,900","$301,900",$0,2018-06-19,"$329,067",2014-06-25,$0,
201,27,,4 MARKET ST,0.4,R,"$552,900","$552,900","$395,200","$157,700","$552,900","$557,400","$557,400",$0,2018-06-19,"$135,000",1988-02-01,$0,
201,28,,1 ON THE COMMON (COMMON),1.4,E,"$29,200","$29,200",$0,"$29,200","$29,200","$24,000","$24,000",$0,,$0,,$0,
201,29,,18 ON THE COMMON,2.2,C,"$719,200","$719,200","$303,000","$416,200","$719,200","$723,300","$723,300","$775,000",2019-09-30,"$950,000",2007-05-01,$0,
201,30,,16 ON THE COMMON,0.78,E,"$650,500","$650,500","$297,500","$353,000","$650,500","$485,900","$485,900","$425,000",2017-11-15,"$447,000",2009-02-04,$0,
201,31,1000,14 ON THE COMMON,3.08,R,"$576,700","$576,700","$339,700","$237,000","$576,700","$630,100","$630,100","$640,000",2020-09-15,"$440,000",2005-05-20,"$640,000",2020-09-15
201,31,2000,18 MARKET ST (BIG ROCK),9.99,E,"$43,000","$43,000",$0,"$43,000","$43,000","$37,300","$37,300",$0,1997-11-18,$0,,$0,
201,32,,12 ON THE COMMON,0.65,R,"$633,000","$633,000","$447,000","$186,000","$633,000","$617,400","$617,400","$625,000",2004-12-14,"$129,000",1998-10-29,$0,
201,33,,10 ON THE COMMON,1.5,R,"$488,500","$488,500","$269,800","$218,700","$488,500","$439,200","$439,200",$0,2006-12-07,$0,,$0,
201,34,,8 ON THE COMMON,1.71,R,"$345,600","$345,600","$137,300","$208,300","$345,600","$319,400","$319,400",$0,2016-01-13,"$195,000",2004-07-07,$0,
201,35,10,6 ON THE COMMON UNIT #1,0,R,"$167,300","$167,300","$167,300",$0,"$167,300","$150,100","$150,100","$102,000",1998-12-21,"$100,000",1994-11-10,$0,
201,35,20,6 ON THE COMMON UNIT #2,0,R,"$160,700","$160,700","$160,700",$0,"$160,700","$144,300","$144,300","$107,133",2012-02-07,"$4,000",1999-06-28,"$215,950",2021-04-01
201,35,30,6 ON THE COMMON UNIT #3,0,R,"$157,100","$157,100","$157,100",$0,"$157,100","$141,100","$141,100","$150,000",2012-12-27,"$132,000",2005-02-14,$0,
201,35,40,6 ON THE COMMON UNIT #4,0,R,"$181,500","$181,500","$181,500",$0,"$181,500","$162,700","$162,700","$176,000",2016-07-14,"$140,000",2013-07-30,$0,
201,35,50,6 ON THE COMMON UNIT #5,0,R,"$152,900","$152,900","$152,900",$0,"$152,900","$137,400","$137,400","$142,000",2015-05-04,"$149,000",2002-12-27,$0,
201,35,60,6 ON THE COMMON UNIT #6,0,R,"$168,600","$168,600","$168,600",$0,"$168,600","$151,200","$151,200","$2,666",2001-06-21,"$94,500",2000-06-29,$0,
201,36,,4 ON THE COMMON,0.18,C,"$1,160,900","$1,160,900","$926,400","$234,500","$1,160,900","$1,095,200","$1,095,200",$0,2008-04-22,"$7,543,800",2008-04-02,$0,
201,37,,2 ON THE COMMON,1.4,R,"$925,900","$925,900","$695,900","$230,000","$925,900","$916,600","$916,600","$985,000",2019-10-10,"$275,000",2003-01-10,$0,
201,38,,38 UNION ST (LIBRARY),0.44,E,"$915,600","$915,600","$653,600","$262,000","$915,600","$859,500","$859,500",$0,,$0,,$0,
201,39,,36 UNION ST,0.39,R,"$511,800","$511,800","$355,300","$156,500","$511,800","$496,100","$496,100","$210,000",2003-08-04,"$169,000",2001-11-09,$0,
201,40,,32 UNION ST,1.55,R,"$704,000","$704,000","$485,100","$218,900","$704,000","$635,400","$635,400",$0,,$0,,$0,
201,42,,30 UNION ST,0.46,R,"$649,200","$649,200","$485,300","$163,900","$649,200","$576,100","$576,100","$174,000",2000-06-23,$0,,$0,
201,43,,28 UNION ST,2.55,R,"$490,500","$490,500","$258,400","$232,100","$490,500","$386,600","$386,600",$0,2013-11-06,"$160,000",1989-02-27,$0,
201,44,,26 UNION ST,1.6,R,"$322,100","$322,100","$103,900","$218,200","$322,100","$262,500","$262,500","$80,000",1995-09-22,$0,,$0,
201,45,,24 UNION ST,1.1,R,"$544,900","$544,900","$316,000","$228,900","$544,900","$489,500","$489,500",$0,2015-10-01,"$460,000",2013-04-26,$0,
201,46,,22 UNION ST,1.28,R,"$449,700","$449,700","$218,800","$230,900","$449,700","$408,400","$408,400",$0,2007-01-12,$0,,$0,
201,47,,20 UNION ST (BIG ROCK),12.82,E,"$103,200","$103,200",$0,"$103,200","$103,200","$87,400","$87,400",$0,2004-09-29,"$475,000",2001-05-29,$0,
201,48,,5 BROOK LN,2.3,R,"$284,100","$284,100","$127,000","$157,100","$284,100","$256,600","$256,600",$0,2010-04-21,$0,,$0,
201,49,,4 BROOK LN,0.41,E,"$8,600","$8,600",$0,"$8,600","$8,600","$8,400","$8,400",$0,,$0,,$0,
201,51,1000,11 UNION ST,2,R,"$783,100","$783,100","$548,700","$234,400","$783,100","$743,900","$743,900","$515,000",2014-10-03,"$150,000",1986-06-30,$0,
201,51,2000,13 UNION ST,2.07,R,"$578,400","$578,400","$343,500","$234,900","$578,400","$544,900","$544,900","$501,000",2011-11-01,"$308,500",2002-01-12,$0,
201,52,,15 UNION ST,1,R,"$390,300","$390,300","$173,800","$216,500","$390,300","$323,000","$323,000","$225,000",2003-04-25,$0,,$0,
201,53,,17 UNION ST,0.99,R,"$333,300","$333,300","$116,800","$216,500","$333,300","$295,600","$295,600",$0,,$0,,$0,
201,54,,21 UNION ST,18,E,"$618,800","$618,800","$301,600","$317,200","$618,800","$491,900","$491,900",$0,,$0,,$0,
201,55,,25 UNION ST,1.4,,"$429,800","$429,800","$139,400","$290,400","$429,800","$374,600","$374,600","$190,000",1987-03-01,$0,,$0,
201,56,,27 UNION ST,0.67,R,"$417,000","$417,000","$217,700","$199,300","$417,000","$344,600","$344,600","$210,000",2004-08-12,"$133,000",1986-06-03,$0,
201,57,,29 UNION ST,0.44,R,"$334,800","$334,800","$173,000","$161,800","$334,800","$321,500","$321,500","$155,000",1998-08-28,"$115,000",1985-03-28,$0,
201,58,,35 UNION ST (ELEM SCHOOL),6.8,E,"$5,187,300","$5,187,300","$3,187,200","$2,000,100","$5,187,300","$4,187,900","$4,187,900",$0,,$0,,$0,
201,59,,39 UNION ST (LITTLE COMMON),0.38,E,"$16,900","$16,900",$0,"$16,900","$16,900","$16,400","$16,400",$0,,$0,,$0,
201,60,,37 UNION ST,1.1,R,"$700,600","$700,600","$471,700","$228,900","$700,600","$623,700","$623,700","$513,000",2005-05-11,$0,,$0,
