PID,Street Address,MBLU,Map,Lot,Unit,Book&Page,Assessment,Appraisal,Lot Size (acres),Land Use Code,Description,Zoning District,# Buildings,Appr. Year,Improvements,Land,Total,Recent Sale Price,Recent Sale Date,Prev Sale Price,Prev Sale Date,Prev. Assess.,Prev. Apprais,,
1,FLOWAGE RIGHTS,100/  1/  /  / ,100,1,,   001/ 001,1254000,1254000,0,422,ELEC PLANT,,1,2016,1254000,0,1254000,0,2017-04-20,26278600,2005-03-31,1254000,1254000,,
2,POWER LINES/L-37.62 MI,100/  2/  /  / ,100,2,, ,2695800,2695800,0,422,ELEC PLANT,,1,2016,2695800,0,2695800,0,,,,2695800,2695800,,
3,POWER LINES,100/  3/  /  / ,100,3,,002944/0182,2527700,2527700,0,422,ELEC PLANT,,1,2016,2527700,0,2527700,1019533,2004-01-01,,,2527700,2527700,,
4,POWER LINES,100/  4/  /  / ,100,4,, ,500,500,0,422,ELEC PLANT,,1,2016,500,0,500,0,,,,500,500,,
5,58 DORCHESTER RD,201/  1/  /  / ,201,1,,  4243/0312,261300,261300,3.9,1010,SINGLE FAM MDL01,LCD,1,2016,93700,167600,261300,0,2016-10-25,150000,2012-01-03,210900,210900,,
7,42 DORCHESTER RD,201/  4/  /  / ,201,4,,002833/0693,181800,181800,0.49,1010,SINGLE FAM MDL01,LCD,1,2016,77200,104600,181800,0,2002-12-16,,,150200,150200,,
8,40 DORCHESTER RD,201/  5/  /  / ,201,5,,002833/0693,254400,254400,0.98,1010,SINGLE FAM MDL01,LCD,1,2016,114000,140400,254400,0,2002-12-16,,,207800,207800,,
9,36 DORCHESTER RD,201/  6/  /  / ,201,6,,  3303/0204,266800,266800,1.85,1010,SINGLE FAM MDL01,LCD,1,2016,108900,157900,266800,5000,2006-07-12,,,210800,210800,,
10,32 DORCHESTER RD,201/  7/  /  / ,201,7,,  3307/0544,417100,417100,2.46,1010,SINGLE FAM MDL01,LCD,1,2016,254100,163000,417100,240000,2006-05-31,5000,1953-08-07,380000,380000,,
12,22 DORCHESTER RD,201/  9/  /  / ,201,9,,  4243/0537,487000,487000,3.11,1010,SINGLE FAM MDL01,LCD,1,2016,261800,225200,487000,500000,2016-10-24,14000,2008-07-28,432700,432700,,
13,18 DORCHESTER RD,201/  10/  /  / ,201,10,,  1812/0014,556400,556400,1.6,1010,SINGLE FAM MDL01,LCD,2,2016,275700,280700,556400,121000,1989-07-06,,,444000,444000,,
16,1 MARKET ST,201/  11/  /  / ,201,11,,  4094/0467,1401800,1401800,1.4,3020,INNS,LCD,1,2016,1016100,385700,1401800,950000,2014-11-12,500000,2008-09-02,1206600,1206600,,
18,7 MARKET ST,201/  12/  1000/  / ,201,12,1000,  4538/ 917,301600,301600,0.37,1010,SINGLE FAM MDL01,LCD,1,2016,162500,139100,301600,435000,2020-07-23,97000,1988-10-07,299900,299900,,
19,5 MARKET ST,201/  12/  2000/  / ,201,12,2000,  4538/ 917,154000,154000,0.05,1010,SINGLE FAM MDL01,LCD,1,2016,91700,62300,154000,435000,2020-07-23,97000,1988-10-07,135600,135600,,
20,11 MARKET ST,201/  13/  /  / ,201,13,,  3651/0625,615800,615800,1.6,1010,SINGLE FAM MDL01,LCD,1,2016,381400,234400,615800,0,2009-09-30,92000,1986-06-12,573900,573900,,
21,15 MARKET ST,201/  14/  /  / ,201,14,,  4414/0628,686500,686500,1.8,1090,MULTI HSES,LCD,2,2016,398100,288400,686500,0,2019-02-01,550000,2018-07-09,613400,613400,,
22,19 MARKET ST,201/  15/  /  / ,201,15,,  3902/0145,449000,449000,0.55,1010,SINGLE FAM MDL01,LCD,1,2016,269300,179700,449000,0,2012-07-25,362000,2012-07-03,390000,390000,,
23,25 MARKET ST,201/  16/  /  / ,201,16,,  1217/0589,478700,478700,4.31,101,Single Fam,LCD,1,2016,233100,245600,478700,42400,1974-04-11,,,441800,441800,,
