PID,Street Address,MBLU,Map,Lot,Unit,Book&Page,Assessment,Appraisal,Lot Size (acres),Land Use Code,Description,Zoning District,# Buildings,Appr. Year,Improvements,Land,Total,Recent Sale Price,Recent Sale Date,Prev Sale Price,Prev Sale Date,Prev. Assess.,Prev. Apprais,,
1,FLOWAGE RIGHTS,100/  1/  /  / ,100,1,,   001/ 001,1254000.00,1254000.00,0,422,ELEC PLANT,,1,2016,1254000.00,0.00,1254000.00,0.00,2017-04-20,26278600.00,2005-03-31,1254000.00,1254000.00,,
2,POWER LINES/L-37.62 MI,100/  2/  /  / ,100,2,, ,2695800.00,2695800.00,0,422,ELEC PLANT,,1,2016,2695800.00,0.00,2695800.00,0.00,,,,2695800.00,2695800.00,,
3,POWER LINES,100/  3/  /  / ,100,3,,002944/0182,2527700.00,2527700.00,0,422,ELEC PLANT,,1,2016,2527700.00,0.00,2527700.00,1019533.00,2004-01-01,,,2527700.00,2527700.00,,
4,POWER LINES,100/  4/  /  / ,100,4,, ,500.00,500.00,0,422,ELEC PLANT,,1,2016,500.00,0.00,500.00,0.00,,,,500.00,500.00,,
5,58 DORCHESTER RD,201/  1/  /  / ,201,1,,  4243/0312,261300.00,261300.00,3.9,1010,SINGLE FAM MDL01,LCD,1,2016,93700.00,167600.00,261300.00,0.00,2016-10-25,150000.00,2012-01-03,210900.00,210900.00,,
7,42 DORCHESTER RD,201/  4/  /  / ,201,4,,002833/0693,181800.00,181800.00,0.49,1010,SINGLE FAM MDL01,LCD,1,2016,77200.00,104600.00,181800.00,0.00,2002-12-16,,,150200.00,150200.00,,
8,40 DORCHESTER RD,201/  5/  /  / ,201,5,,002833/0693,254400.00,254400.00,0.98,1010,SINGLE FAM MDL01,LCD,1,2016,114000.00,140400.00,254400.00,0.00,2002-12-16,,,207800.00,207800.00,,
9,36 DORCHESTER RD,201/  6/  /  / ,201,6,,  3303/0204,266800.00,266800.00,1.85,1010,SINGLE FAM MDL01,LCD,1,2016,108900.00,157900.00,266800.00,5000.00,2006-07-12,,,210800.00,210800.00,,
10,32 DORCHESTER RD,201/  7/  /  / ,201,7,,  3307/0544,417100.00,417100.00,2.46,1010,SINGLE FAM MDL01,LCD,1,2016,254100.00,163000.00,417100.00,240000.00,2006-05-31,5000.00,1953-08-07,380000.00,380000.00,,
12,22 DORCHESTER RD,201/  9/  /  / ,201,9,,  4243/0537,487000.00,487000.00,3.11,1010,SINGLE FAM MDL01,LCD,1,2016,261800.00,225200.00,487000.00,500000.00,2016-10-24,14000.00,2008-07-28,432700.00,432700.00,,
13,18 DORCHESTER RD,201/  10/  /  / ,201,10,,  1812/0014,556400.00,556400.00,1.6,1010,SINGLE FAM MDL01,LCD,2,2016,275700.00,280700.00,556400.00,121000.00,1989-07-06,,,444000.00,444000.00,,
16,1 MARKET ST,201/  11/  /  / ,201,11,,  4094/0467,1401800.00,1401800.00,1.4,3020,INNS,LCD,1,2016,1016100.00,385700.00,1401800.00,950000.00,2014-11-12,500000.00,2008-09-02,1206600.00,1206600.00,,
18,7 MARKET ST,201/  12/  1000/  / ,201,12,1000,  4538/ 917,301600.00,301600.00,0.37,1010,SINGLE FAM MDL01,LCD,1,2016,162500.00,139100.00,301600.00,435000.00,2020-07-23,97000.00,1988-10-07,299900.00,299900.00,,
19,5 MARKET ST,201/  12/  2000/  / ,201,12,2000,  4538/ 917,154000.00,154000.00,0.05,1010,SINGLE FAM MDL01,LCD,1,2016,91700.00,62300.00,154000.00,435000.00,2020-07-23,97000.00,1988-10-07,135600.00,135600.00,,
20,11 MARKET ST,201/  13/  /  / ,201,13,,  3651/0625,615800.00,615800.00,1.6,1010,SINGLE FAM MDL01,LCD,1,2016,381400.00,234400.00,615800.00,0.00,2009-09-30,92000.00,1986-06-12,573900.00,573900.00,,
