Map,Map Cut,Block,Block Cut,Lot,Lot Cut,Unit,Unit Cut,Location,Owner||CHR(39)||s Name,Total Assessed Land Value,Total Assessed Improvements,Total Assessed Parcel Value
201,,28,,,,,,1 ON THE COMMON (COMMON),"LYME, TOWN OF",29200,0,29200
201,,30,,,,,,16 ON THE COMMON,CENTER FOR NORTHERN WOODLANDS EDU INC,353000,297500,650500
201,,31,,2000,,,,18 MARKET ST (BIG ROCK),"LYME, TOWN OF",43000,0,43000
201,,38,,,,,,38 UNION ST (LIBRARY),"LYME, TOWN OF",262000,653600,915600
201,,47,,,,,,20 UNION ST (BIG ROCK),"LYME, TOWN OF",103200,0,103200
201,,49,,,,,,4 BROOK LN,"NEW HAMPSHIRE, STATE OF",8600,0,8600
201,,54,,,,,,21 UNION ST,LYME CONGREGATIONAL CHURCH,317200,301600,618800
201,,58,,,,,,35 UNION ST (ELEM SCHOOL),LYME SCHOOL DISTRICT,2000100,3187200,5187300
201,,59,,,,,,39 UNION ST (LITTLE COMMON),"LYME, TOWN OF",16900,0,16900
201,,71,,,,,,3 MAIN ST,"NEW HAMPSHIRE, STATE OF",104000,7500,111500
201,,77,,      E,,,,15 MAIN ST,LYME HISTORIANS INC,253100,273300,526400
201,,78,,,,,,1 PLEASANT ST (OLD CEMETERY,"LYME, TOWN OF",424700,4400,429100
201,,93,,100,,,,6 JOHN THOMSON WY (L/O),"LYME, TOWN OF",40300,0,40300
201,,93,,200,,,,6 JOHN THOMSON WY(HORSESHD),LYME CONGREGATIONAL CHURCH,0,42000,42000
201,,94,,100,,,,2 PLEASANT ST (JAILHOUSE),"LYME, TOWN OF",12200,15200,27400
201,,94,,200,,,,4 JOHN THOMSON WY,AMERICAN LEGION,189400,46900,236300
201,,95,,,,,,1 DORCHESTER RD,LYME CONGREGATIONAL CHURCH,246000,1194500,1440500
201,,96,,,,,,5 DORCHESTER RD,LYME CONGREGATIONAL CHURCH,166400,81400,247800
201,,103,,,,,,44 HIGH ST (FIRE STATION),"LYME, TOWN OF",170200,410700,580900
201,,109,,1000,,,,30 HIGH ST,"NEW HAMPSHIRE, STATE OF",166100,21200,187300
201,,110,,1000,,,,24 HIGH ST (HIGHWAY GARAGE),"LYME, TOWN OF",219600,562100,781700
201,,110,,2000,,,,24 HIGH ST (HIGHLAND CEMETER,"LYME, TOWN OF",246900,11100,258000
