From http://50.195.51.132/public/Vendors/VISIONOCC.pdf
Occ Code Occ Description Occupancy Summary	Code
0401	IND WHSES	0401
0402	IND OFFICE	0402
0403	ACCLND MFG	0403
0404	R-D FACIL	0404
0410	PR IND RES	0410
0411	GYPSUMMINE	0411
0412	ROCK MINE	0412
0413	OTH MINES	0413
805V	61B GOLF M00	8050
8060	61B HORSE	8060
8070	61B HUNT	8070
8080	61B FISH	8080
8090	61B AL-SKI	8090
8100	61B NR-SKI	8100
8110	61B SWIM	8110
8120	61B PICNIC	8120
8130	61B GLIDE	8130
8140	61B TARGET	8140
9000	US GOVT	9000
901V	COMM-MASS M00	9010
9010	COMM-MASS M96	9010
9020	COUNTY	9020
903R	MUNICPAL M01	9030
903V	MUNICPAL M00	9030
9030	MUNICPAL M94	9030
903I	MUNICPAL M96	9030
9031	POLICE	9031
9032	FIRE	9032
9033	PUB-SCHOOL	9033
9035	TOWN-PROP	9035
904V	PRI SCHOOL M00	9040
904R	PRI SCHOOL M01	9040
9040	PRI SCHOOL M94	9040
905R	P/HOS CHAR M01	9050
9050	P/HOS CHAR M94	9050
905I	P/HOS CHAR M96	9050
905V	P/HOS CHAR M00	9050
906V	CHURCH ETC M00	9060
906R	CHURCH ETC M01	9060
906I	CHURCH ETC M96	9060
9060	CHURCH ETC M94	9060
907V	121A CORP M00	9070
9070	121A CORP M01	9070
3240	SUPERMKT	3240
3250	CONV FOOD	3250
326V	REST/CLUBS M00	3260
3260	REST/CLUBS M94	3260
326R	REST/CLUBS M01	3260
326I	REST/CLUBS M96	3260
3300	AUTO V S&S	3300
3310	AUTO S S&S	3310
3320	AUTO REPR M95	3320
332I	AUTO REPR M96	3320
3330	FUEL SV/PR	3330
3340	GAS ST SRV	3340
3350	CAR WASH	3350
3360	PARK GAR	3360
Occ Code Occ Description Occupancy Summary	Code
3370	PARK LOT	3370
3380	OTH MTR SS	3380
340R	OFFICE BLD M01	3400
340I	OFFICE BLD M96	3400
3400	OFFICE BLD M94	3400
340U	OFF CONDO M05	3401
340C	OFF CONDO M94	3401
340L	OFF CONDO M96	3401
340B	OFF CONDO M01	3401
955I	HOSPITAL	9550
9550	HOSPITAL	9550
955C	HOSPITAL	955C
955R	HOPSITAL RES	955R
3401	OFF CONDO M06	3401
3410	BANK BLDG	3410
3420	PROF BLDG	3420
3421	PROF CONDO M06	3421
342C	PROF CONDO M94	3421
3430	COMM CONDO M06	3430
343I	COMM CONDO M96	3430
3500	POST OFF	3500
3510	EDUC BLDG	3510
932V	CONSERVATION M00	9320
933V	EDUCATION VAC	9330
9340	EDUCATION IMPR	9340
930V	SELECTMEN VAC	9300
9310	SELECTMEN IMPR	9310
3520	DAY CARE	3520
3530	FRATNL ORG	3530
3540	TRANSPORT	3540
3541	AIRPORT	3541
3542	BUS STATN	3542
3543	TRAIN STA	3543
3544	TAXI STAND	3544
3550	FUNERAL HM	3550
3560	PROF ASSOC	3560
3600	MUSEUMS	3600
3610	ART GAL	3610
3620	MOVIE THTR	3620
3630	DRIVEINTHT	3630
3640	THEATER	3640
3650	STADIUMS	3650
3660	ARENAS	3660
3670	RACETRACK	3670
3680	AMUSE PARK	3680
3690	OTHER CULT	3690
3700	BOWLING	3700
3710	ICE SKATE	3710
3720	ROLLER SKT	3720
3730	SWIM POOL	3730
3740	HEALTH SPA	3740
316V	COMM WHS M00	3160
0109	MULTI HSES	0109
0111	APT 4-UNIT MDL01	0111
011C	APT 4-UNIT MDL94	0111
0112	APT OVER 8	0112
0120	PR RES OPN	0120
0121	BOARDNG HS	0121
0122	FRAT/SOROR	0122
0123	DORMITORY	0123
Occ Code Occ Description Occupancy Summary	Code
0124	REC/CONVEN	0124
0130	PRI RES	0130
0131	RES ACLNPO	0131
0132	RES ACLNUD	0132
0134	PRI RS C/I	0134
0140	PR RES IND M96	0140
014C	PR RES IND M94	0140
0201	SFR OPEN	0201
0202	WET RES PV	0202
0210	PRI OPN SP	0210
0211	NONPROD VC	0211
0300	HOTELS	0300
0301	MOTELS	0301
0302	INNS	0302
0303	0303
0304	NURSING HM	0304
0305	HOSP PVT	0305
0306	TRANS RES	0306
0310	PRI COMM	0310
0311	RTL GAS ST	0311
0312	GRAIN ELEV	0312
0313	LUMBER YRD	0313
0314	TRK TERM	0314
0315	DOCKYARDS	0315
031R	COMM WHSE M01	0316
0316	COMM WHSE M94	0316
031I	COMM WHSE M96	0316
0317	FARM BLDGS	0317
0318	COM GRN HS	0318
0321	HRDWARE ST	0321
032R	STORE/SHOP M01	0322
0322	STORE/SHOP M94	0322
032I	STORE/SHOP M96	0322
0323	SHOPNGMALL	0323
0324	SUPERMKT	0324
0325	CONV FOOD	0325
010I	SINGLE FAM MDL96	0101
805I	61B GOLF M96	8050
0326	REST/CLUBS	0326
907C	121A CORP M94	9070
0330	AUTO V S&S	0330
0331	AUTO S S&S	0331
0332	AUTO REPR M96	0332
033R	AUTO REPR M01	0332
0333	FUEL SV/PR	0333
0334	GAS ST SRV	0334
0335	CAR WASH	0335
0336	PARK GAR	0336
0420	PUB TANKS	0420
0421	TANKS LNG	0421
0422	ELEC PLANT	0422
