PID	Street Address	MBLU	Map	Lot	Unit	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais		Increased Assessment
84	35 UNION ST (ELEM SCHOOL)	201/  58/  /  / 	201	58		 	"$5,187,300 "	"$5,187,300 "	6.8	903C	MUNICPAL  MDL-94	LCD	1	2016	"$3,187,200 "	"$2,000,100 "	"$5,187,300 "	$0 				"$4,187,900 "	"$4,187,900 "		"$999,400 "
1305	39 GRAFTON TK (NON-TAXABLE)	414/  58/  1002P/  / 	414	58	1002P	  0145/0577	"$4,034,300 "	"$4,034,300 "	82.6	920C	NON PROFIT  MDL-94	SKIWAY	3	2016	"$3,697,300 "	"$337,000 "	"$4,034,300 "	$0 				"$3,850,000 "	"$3,850,000 "		"$184,300 "
576	729 RIVER RD	405/  36/  /  / 	405	36		  3928/0824	"$3,435,400 "	"$3,435,400 "	18.43	1013	SFR WATER  MDL-01		5	2016	"$2,086,100 "	"$1,349,300 "	"$3,435,400 "	$0 	11/1/12			"$2,746,000 "	"$2,746,000 "		"$689,400 "
259	101 DARTMOUTH COLLEGE HY	401/  56/  /  / 	401	56		  2297/0890	"$3,047,400 "	"$3,047,400 "	136	904C	PRI SCHOOL  MDL-94		1	2016	"$2,454,700 "	"$592,700 "	"$3,047,400 "	"$250,000 "	2/17/98	"$252,000 "	9/21/93	"$2,683,100 "	"$2,683,100 "		"$364,300 "
2	POWER LINES/L-37.62 MI	100/  2/  /  / 	100	2		 	"$2,695,800 "	"$2,695,800 "	0	422	ELEC PLANT		1	2016	"$2,695,800 "	$0 	"$2,695,800 "	$0 				"$2,695,800 "	"$2,695,800 "		$0 
402	261 RIVER RD	402/  104/  /  / 	402	104		  3449/0254	"$2,596,300 "	"$2,596,300 "	6.6	1093	MLTI HS WF	RD	2	2016	"$1,391,300 "	"$1,205,000 "	"$2,596,300 "	"$1,900,000 "	9/13/07	"$4,000 "	3/2/93	"$2,304,400 "	"$2,304,400 "		"$291,900 "
3	POWER LINES	100/  3/  /  / 	100	3		002944/0182	"$2,527,700 "	"$2,527,700 "	0	422	ELEC PLANT		1	2016	"$2,527,700 "	$0 	"$2,527,700 "	"$1,019,533 "	1/1/04			"$2,527,700 "	"$2,527,700 "		$0 
1054	92 WASHBURN HILL RD	409/  99/  /  / 	409	99		4123-0565	"$1,999,000 "	"$2,395,400 "	84	1010	SINGLE FAM MDL01	RD	1	2016	"$1,529,800 "	"$865,600 "	"$2,395,400 "	"$2,650,000 "	4/28/15	"$1,535,000 "	4/25/05	"$1,576,100 "	"$1,935,300 "		"$422,900 "
909	146 ACORN HILL RD	408/  57/  3000/  / 	408	57	3000	  3940/0992	"$1,967,900 "	"$2,515,000 "	110.62	1010	SINGLE FAM MDL01	RD	1	2016	"$1,330,200 "	"$1,184,800 "	"$2,515,000 "	"$3,315,000 "	12/18/12	"$3,000,000 "	1/29/10	"$1,791,500 "	"$2,287,400 "		"$176,400 "
639	10 TAVERN LN	406/  36/  /  / 	406	36		  3897/0317	"$1,951,500 "	"$2,419,800 "	75	1010	SINGLE FAM MDL01	RD	3	2016	"$1,610,400 "	"$809,400 "	"$2,419,800 "	"$1,825,000 "	7/2/12	"$140,000 "	4/30/99	"$1,766,900 "	"$1,996,400 "		"$184,600 "
1304	39 GRAFTON TK (TAXABLE)	414/  58/  1001P/  / 	414	58	1001P	  0145/0577	"$1,931,900 "	"$2,362,900 "	354.4	3890	SKIWAY	SKIWAY	2	2016	"$830,300 "	"$1,532,600 "	"$2,362,900 "	$0 				"$1,547,300 "	"$1,937,600 "		"$384,600 "
106	9 MAIN ST	201/  75/  /  / 	201	75		  2305/0161	"$1,909,300 "	"$1,909,300 "	5.4	3020	INNS	LCD	3	2016	"$1,421,000 "	"$488,300 "	"$1,909,300 "	$0 	3/6/98	"$400,000 "	5/15/89	"$1,552,700 "	"$1,552,700 "		"$356,600 "
1096	42 CLAFLIN LN	410/  33/  1000/  / 	410	33	1000	  4557/ 709	"$1,862,900 "	"$2,324,500 "	77.52	1090	MULTI HSES	RD	3	2016	"$1,543,900 "	"$780,600 "	"$2,324,500 "	"$2,575,000 "	9/24/20	"$1,550,000 "	10/5/09	"$1,486,100 "	"$1,818,600 "		"$376,800 "
100583	95 DARTMOUTH COLLEGE HY #1234	401/  55/  123/  / 	401	55	123	  2327/0460	"$1,848,200 "	"$1,848,200 "	0	904C	PRI SCHOOL  MDL-94	BD	4	2016	"$1,848,200 "	$0 	"$1,848,200 "	"$750,000 "	7/8/98			"$1,690,400 "	"$1,690,400 "		"$157,800 "
831	24 PINNACLE RD	407/  135/  /  / 	407	135		  1835/ 703	"$1,831,900 "	"$1,831,900 "	38.1	1090	MULTI HSES		3	2016	"$1,132,300 "	"$699,600 "	"$1,831,900 "	"$205,053 "	12/1/89	"$168,000 "	5/15/89	"$1,753,300 "	"$1,753,300 "		"$78,600 "
578	765 RIVER RD	405/  38/  1000/  / 	405	38	1000	  3816/0072	"$1,804,500 "	"$1,953,100 "	12.58	1013	SFR WATER  MDL-01	RD	1	2016	"$881,300 "	"$1,071,800 "	"$1,953,100 "	$0 	8/25/11			"$1,471,300 "	"$1,586,300 "		"$333,200 "
575	711 RIVER RD	405/  35/  /  / 	405	35		  4561/ 481	"$1,782,000 "	"$2,029,100 "	21.5	1013	SFR WATER  MDL-01	RD	3	2016	"$862,000 "	"$1,167,100 "	"$2,029,100 "	"$1,950,000 "	10/5/20	"$1,519,000 "	6/6/16	"$1,269,200 "	"$1,497,700 "		"$512,800 "
867	60 ROCKY HILL LN	408/  29/  /  / 	408	29		  3826/0809	"$1,744,200 "	"$1,920,700 "	42.5	1090	MULTI HSES	RD	3	2016	"$1,112,100 "	"$808,600 "	"$1,920,700 "	"$1,500,000 "	10/13/11	"$925,048 "	8/14/91	"$1,606,000 "	"$1,766,200 "		"$138,200 "
256	63-69 DARTMOUTH COLLEGE HY	401/  53/  1000/  / 	401	53	1000	  4013/ 0518	"$1,732,200 "	"$1,732,200 "	3.2	101	Single Fam	RD	4	2016	"$1,367,900 "	"$364,300 "	"$1,732,200 "	"$116,733 "	9/23/13			"$1,489,200 "	"$1,489,200 "		"$243,000 "
