PID,Street Address,MBLU,Map,Lot,Unit,Book&Page,Assessment,Appraisal,Lot Size (acres),Land Use Code,Description,Zoning District,# Buildings,Appr. Year,Improvements,Land,Total,Recent Sale Price,Recent Sale Date,Prev Sale Price,Prev Sale Date,Prev. Assess.,Prev. Apprais,,
123,30 PLEASANT ST,201/  86/  /  / ,201,86,  ,  4371/0348,284100,284100,0.69,1010,SINGLE FAM MDL01,LCD,1,2021,151900,132200,284100,295000,2018-06-29,185000,2006-03-24,284100,284100,14:26:01,1
125,24 PLEASANT ST,201/  88/  /  / ,201,88,  ,  4071/0118,427700,427700,2.3,1010,SINGLE FAM MDL01,LCD,1,2021,272000,155700,427700,365000,2014-07-21,,,427700,427700,14:26:03,2
127,16 PLEASANT ST,201/  90/  /  / ,201,90,  ,  4644/ 627,393500,393500,0.9,1010,SINGLE FAM MDL01,LCD,1,2021,240200,153300,393500,525000,2021-06-17,405000,2019-05-01,393500,393500,14:26:06,3
128,12+14 PLEASANT ST,201/  91/  /  / ,201,91,  ,  3779/0878,583500,583500,0.8,1090,MULTI HSES,LCD,2,2021,395000,188500,583500,200000,2011-03-15,125000,1997-09-09,583500,583500,14:26:08,4
129,10 PLEASANT ST,201/  92/  /  / ,201,92,  ,  4152/0371,339800,339800,1.3,1010,SINGLE FAM MDL01,LCD,1,2021,182300,157500,339800,286000,2015-08-24,225000,2006-03-07,339800,339800,14:26:11,5
132,6 JOHN THOMSON WY (L/O),201/  93/  100/  / ,201,93,100, ,40300,40300,0.16,9030,MUNICPAL  MDL-00,LDC,1,2021,0,40300,40300,0,,,,40300,40300,14:26:14,6
133,6 JOHN THOMSON WY(HORSESHD),201/  93/  200/  / ,201,93,200,  1005/0574,42000,42000,0,9060,CHURCH ETC  MDL-00,,1,2021,42000,0,42000,0,,,,42000,42000,14:26:19,7
136,2 PLEASANT ST (JAILHOUSE),201/  94/  100/  / ,201,94,100, ,27400,27400,0.07,903I,MUNICPAL  MDL-96,LCD,1,2021,15200,12200,27400,0,,,,27400,27400,14:26:22,8
137,4 JOHN THOMSON WY,201/  94/  200/  / ,201,94,200, ,236300,236300,1.85,920C,NON PROFIT  MDL-94,LCD,1,2021,46900,189400,236300,0,,,,236300,236300,14:26:23,9
139,5 DORCHESTER RD,201/  96/  /  / ,201,96,  , ,247800,247800,0.09,906C,CHURCH ETC  MDL-94,LCD,1,2021,81400,166400,247800,0,,,,247800,247800,14:26:26,10
