# Assessed vs Appraisal - from Assessor - 2 Dec 2021,,,,,,,,,
AA_Map,AA_Lot,AA_Unit,AA_Owner,AA_Appraisal_Improvements,AA_Assessment_Improvements,AA_Appraisal_Land,AA_Assessment_Land,AA_Appraisal_Total,AA_Assessment_Total
Map,Block,Lot,Location,Total Appraised Improvements,Total Assessed Improvements,Total Appraised Land Value,Total Assessed Land Value,Total Appraised Parcel Value,Total Assessed Parcel Value
100,1,,FLOWAGE RIGHTS,1254000,1254000,0,0,1254000,1254000
100,2,,POWER LINES/L-37.62 MI,2861300,2861300,0,0,2861300,2861300
100,3,,POWER LINES,2527700,2527700,0,0,2527700,2527700
100,4,,POWER LINES,500,500,0,0,500,500
100,5,,ROW  TOWN OF LYME,6000,6000,0,0,6000,6000
100,10,,TOWN OF LYME,415200,415200,0,0,415200,415200
201,1,,58 DORCHESTER RD,93700,93700,167600,167600,261300,261300
201,4,,42 DORCHESTER RD,77200,77200,104600,104600,181800,181800
201,5,,40 DORCHESTER RD,114000,114000,140400,140400,254400,254400
201,6,,36 DORCHESTER RD,108900,108900,157900,157900,266800,266800
201,7,,32 DORCHESTER RD,254100,254100,163000,163000,417100,417100
201,9,,22 DORCHESTER RD,261800,261800,225200,225200,487000,487000
201,10,,18 DORCHESTER RD,275700,275700,280700,280700,556400,556400
201,11,,1 MARKET ST,1016100,1016100,385700,385700,1401800,1401800
201,12,1000,7 MARKET ST,162500,162500,139100,139100,301600,301600
201,12,2000,5 MARKET ST,91700,91700,62300,62300,154000,154000
201,13,,11 MARKET ST,381400,381400,234400,234400,615800,615800
201,14,,15 MARKET ST,398100,398100,288400,288400,686500,686500
201,15,,19 MARKET ST,269300,269300,179700,179700,449000,449000
201,16,,25 MARKET ST,233100,233100,245600,245600,478700,478700
201,18,,30 MARKET ST,410600,410600,170500,170500,581100,581100
201,19,,26 MARKET ST,151100,151100,205300,205300,356400,356400
201,20,,22 MARKET ST,326700,326700,210000,210000,536700,536700
201,21,,20 MARKET ST,292900,292900,244000,244000,536900,536900
201,22,,14 MARKET ST,420400,420400,235700,235700,656100,656100
201,23,,10 MARKET ST,275300,275300,218200,218200,493500,493500
201,25,,8 MARKET ST,131000,131000,146800,146800,277800,277800
201,26,,6 MARKET ST,176400,176400,151600,151600,328000,328000
201,27,,4 MARKET ST,395200,395200,157700,157700,552900,552900
201,28,,1 ON THE COMMON (COMMON),0,0,29200,29200,29200,29200
201,29,,18 ON THE COMMON,303000,303000,416200,416200,719200,719200
201,30,,16 ON THE COMMON,297500,297500,353000,353000,650500,650500
201,30,      T,16  ON THE COMMON,50000,50000,0,0,50000,50000
201,31,1000,14 ON THE COMMON,339700,339700,237000,237000,576700,576700
201,31,2000,18 MARKET ST (BIG ROCK),0,0,43000,43000,43000,43000
201,32,,12 ON THE COMMON,447000,447000,186000,186000,633000,633000
201,33,,10 ON THE COMMON,269800,269800,218700,218700,488500,488500
201,34,,8 ON THE COMMON,137300,137300,208300,208300,345600,345600
201,35,10,6 ON THE COMMON UNIT #1,194300,194300,0,0,194300,194300
201,35,10,6-6 ON THE COMMON UNIT,0,0,0,0,0,0
201,35,20,6 ON THE COMMON UNIT #2,197400,197400,0,0,197400,197400
201,35,30,6 ON THE COMMON UNIT #3,184100,184100,0,0,184100,184100
201,35,40,6 ON THE COMMON UNIT #4,208500,208500,0,0,208500,208500
201,35,50,6 ON THE COMMON UNIT #5,179900,179900,0,0,179900,179900
201,35,60,6 ON THE COMMON UNIT #6,195600,195600,0,0,195600,195600
201,36,,4 ON THE COMMON,926400,926400,234500,234500,1160900,1160900
201,37,,2 ON THE COMMON,734700,734700,230000,230000,964700,964700
201,38,,38 UNION ST (LIBRARY),653600,653600,262000,262000,915600,915600
201,39,,36 UNION ST,355300,355300,156500,156500,511800,511800
201,40,,32 UNION ST,485100,485100,218900,218900,704000,704000
201,42,,30 UNION ST,485300,485300,163900,163900,649200,649200
201,43,,28 UNION ST,258400,258400,232100,232100,490500,490500
